year,female,male,unknown
1955,2991,21259,30091
1956,3507,24222,32068
1957,3702,25947,35208
1958,3873,27397,40996
1959,4250,29985,42615
1960,4598,32422,48549
1961,5186,36292,57450
1962,5977,40602,63160
1963,6243,43070,68351
1964,6967,47401,78199
1965,7147,49035,89609
1966,8161,55699,103709
1967,8913,61282,113151
1968,9779,66556,131460
1969,10497,70878,147965
1970,10841,72785,151588
1971,12139,78350,166749
1972,13044,82251,188235
1973,13541,84437,194616
1974,14980,90411,215416
1975,17980,103110,256907
1976,19825,109946,280511
1977,22467,118961,321517
1978,24534,124391,338004
1979,26277,129633,357304
1980,31272,142052,367870
1981,30135,138749,403784
1982,31607,141682,428611
1983,33747,147926,456681
1984,34267,147911,482582
1985,36187,150939,512214
1986,38901,154376,538697
1987,39361,154243,568063
1988,40604,155439,578927
1989,41210,154079,571151
1990,42321,155769,599766
1991,44376,157429,625090
1992,47257,162763,660089
1993,51043,166993,709069
1994,56162,175331,747342
1995,63006,185878,804833
1996,64935,184310,857302
1997,68703,189239,901425
1998,70732,188080,930253
1999,76637,190886,972757
2000,82508,194534,1006410
2001,94451,206958,1009460
2002,98424,206937,1076549
2003,106286,211770,1126458
2004,113966,213865,1188742
2005,114717,209113,1162695
2006,96231,173181,939466
2007,82582,146430,841745
2008,60130,108428,828845
2009,43492,81379,803769
2010,32315,62589,796732
2011,0,0,854665
2012,0,0,822110
2013,0,0,778923
2014,0,0,639792
2015,0,0,635305
2016,0,0,95977
total,412808,1110194,0
